AOI,p1x,p1y,p2x,p2y,task
Stimulus_Neue Nachrichten3,774.153846153846,994.153846153846,1153.23076923077,1063.07692307692,Stimulus
Stimulus_Neue Nachrichten2,776.615384615385,906.769230769231,1152.0,986.769230769231,Stimulus
Stimulus_Zurich um Umgebung,1253.58443672456,682.545230769231,1736.83982133995,995.432615384615,Stimulus
Stimulus_Question,196.975205955335,7.62584615384691,1702.43859057072,130.487384615385,Stimulus
Stimulus_Kultur_button,436.145667493796,954.478769230769,650.74382133995,1006.89969230769,Stimulus
Stimulus_Parks_button,199.445882352941,951.851764705882,412.405882352941,1005.09176470588,Stimulus
Stimulus_Ort Suchen,200.0,223.529411764706,652.941176470588,308.235294117647,Stimulus
Stimulus_Beliebt,1261.77520595533,348.361846153847,1745.03059057072,653.058461538462,Stimulus
Stimulus_Laden_button,436.923076923077,1012.61538461538,651.076923076923,1064.30769230769,Stimulus
Stimulus_Restaurants_button,198.153846153846,1011.38461538462,412.307692307692,1059.38461538462,Stimulus
Stimulus_Neue Nachrichten1,775.243513647642,811.959384615385,1155.29520595533,895.505230769231,Stimulus
Stimulus_zu den vorschlagen,783.434282878411,558.045538461539,1132.36105210918,715.308307692308,Stimulus
Stimulus_Map,198.823529411765,312.941176470588,654.117647058824,942.352941176471,Stimulus
