AOI,p1x,p1y,p2x,p2y,task
Stimulus_water_graph,1319.38461538462,244.615384615385,1702.15384615385,514.153846153846,Stimulus
Stimulus_Detail,882.461538461539,879.692307692308,1037.53846153846,936.307692307692,Stimulus
Stimulus_Add button,518.153846153846,853.846153846154,593.230769230769,933.846153846154,Stimulus
Stimulus_water_stats,1315.69230769231,524.0,1705.84615384615,709.846153846154,Stimulus
Stimulus_Plant image,769.230769230769,133.846153846154,1150.76923076923,652.0,Stimulus
Stimulus_Bedroom,217.846153846154,676.615384615385,482.461538461539,866.153846153846,Stimulus
Stimulus_Kitchen,220.307692307692,456.307692307692,599.384615384615,647.076923076923,Stimulus
Stimulus_Water,772.923076923077,668.0,893.538461538462,784.923076923077,Stimulus
Stimulus_Light,1028.92307692308,669.230769230769,1147.07692307692,786.153846153846,Stimulus
Stimulus_LivingRoom,221.538461538462,234.769230769231,599.384615384615,434.153846153846,Stimulus
Stimulus_sun_graph,1319.38461538462,723.384615384615,1702.15384615385,947.384615384615,Stimulus
Stimulus_Temp,903.384615384615,670.461538461538,1019.07692307692,787.384615384615,Stimulus
Stimulus_Notification,770.461538461538,792.307692307692,978.461538461539,847.692307692308,Stimulus

