AOI,p1x,p1y,p2x,p2y,task
SWA_Stimulus_Journalist_List_1,310.153846153846,201.538461538462,396.307692307692,328.307692307692,SWA_Stimulus
SWA_Stimulus_Status_invited1,412.307692307692,738.153846153846,468.923076923077,807.076923076923,SWA_Stimulus
SWA_Stimulus_Cancel_add,1601.23076923077,480.923076923077,1649.23076923077,519.076923076923,SWA_Stimulus
SWA_Stimulus_Add_1,804.923076923077,31.6923076923077,875.076923076923,68.6153846153846,SWA_Stimulus
SWA_Stimulus_Status_Request2,596.923076923077,738.153846153846,676.923076923077,767.692307692308,SWA_Stimulus
SWA_Stimulus_Navigation_2,131.692307692308,605.230769230769,247.384615384615,719.692307692308,SWA_Stimulus
SWA_Stimulus_Status_Published3,796.307692307692,207.692307692308,866.461538461539,272.923076923077,SWA_Stimulus
SWA_Stimulus_EventInfo_1,304.705882352941,74.1176470588235,874.117647058824,196.470588235294,SWA_Stimulus
SWA_Stimulus_Confirm_add,1656.61538461538,482.153846153846,1716.92307692308,516.615384615385,SWA_Stimulus
SWA_Stimulus_Status_Published2,596.923076923077,199.076923076923,667.076923076923,272.923076923077,SWA_Stimulus
SWA_Stimulus_Journalist_List_6,705.230769230769,738.153846153846,785.230769230769,818.153846153846,SWA_Stimulus
SWA_Stimulus_Status_Published_6,401.230769230769,1010.15384615385,475.076923076923,1040.92307692308,SWA_Stimulus
SWA_Stimulus_Status_Published_5,790.153846153846,736.923076923077,868.923076923077,816.923076923077,SWA_Stimulus
SWA_Stimulus_Status Request1,404.923076923077,201.538461538462,478.769230769231,242.153846153846,SWA_Stimulus
SWA_Stimulus_EventInfo_2,305.230769230769,607.692307692308,875.076923076923,732.0,SWA_Stimulus
SWA_Stimulus_Status_Published1,404.923076923077,248.307692307692,477.538461538462,329.538461538462,SWA_Stimulus
SWA_Stimulus_Journalist_List5,512.0,736.923076923077,590.769230769231,851.384615384615,SWA_Stimulus
SWA_Stimulus_Question_Task1,958.769230769231,941.230769230769,1769.84615384615,999.076923076923,SWA_Stimulus
SWA_Stimulus_Journalist_List4,315.076923076923,736.923076923077,408.615384615385,804.615384615385,SWA_Stimulus
SWA_Stimulus_EventInfo_3,302.769230769231,880.923076923077,480.0,1001.53846153846,SWA_Stimulus
SWA_Stimulus_Status_Published_4,599.384615384615,773.846153846154,676.923076923077,848.923076923077,SWA_Stimulus
SWA_Stimulus_Navigation_1,125.882352941176,72.9411764705882,249.411764705882,187.058823529412,SWA_Stimulus
SWA_Stimulus_Journalist_selection,1691.07692307692,329.538461538462,1723.07692307692,452.615384615385,SWA_Stimulus
SWA_Stimulus_Event_Details,1504.0,31.6923076923077,1723.07692307692,324.615384615385,SWA_Stimulus
SWA_Stimulus_Journalist_List_3,710.153846153846,206.461538461538,792.615384615385,280.307692307692,SWA_Stimulus
SWA_Stimulus_Available_Journalists,1508.92307692308,329.538461538462,1687.38461538462,453.846153846154,SWA_Stimulus
SWA_Stimulus_Add_2,817.230769230769,568.307692307692,876.307692307692,599.076923076923,SWA_Stimulus
SWA_Stimulus_Journalist_List_2,503.384615384615,200.307692307692,592.0,280.307692307692,SWA_Stimulus
SWA_Stimulus2_Current_Selection,308.923076923077,734.461538461538,487.384615384615,770.153846153846,SWA_Stimulus2
SWA_Stimulus2_View button,1149.53846153846,220.0,1326.76923076923,265.538461538462,SWA_Stimulus2
SWA_Stimulus2_Navigation_2,966.153846153846,77.2307692307692,1062.15384615385,181.846153846154,SWA_Stimulus2
SWA_Stimulus2_EventInfo,305.230769230769,605.230769230769,489.846153846154,727.076923076923,SWA_Stimulus2
SWA_Stimulus2_Edit_button,813.538461538462,568.307692307692,877.538461538462,602.769230769231,SWA_Stimulus2
SWA_Stimulus2_Submission_information,500.923076923077,622.461538461538,648.615384615385,665.538461538462,SWA_Stimulus2
SWA_Stimulus2_Question_Task2,952.615384615385,938.769230769231,1764.92307692308,1045.84615384615,SWA_Stimulus2
SWA_Stimulus2_Question,310.153846153846,80.9230769230769,489.846153846154,233.538461538462,SWA_Stimulus2
SWA_Stimulus2_Navigation_3,128.0,605.230769230769,254.769230769231,713.538461538462,SWA_Stimulus2
SWA_Stimulus2_Help_button,825.846153846154,628.615384615385,859.076923076923,661.846153846154,SWA_Stimulus2
SWA_Stimulus2_Navigation_1,125.538461538462,79.6923076923077,242.461538461538,184.307692307692,SWA_Stimulus2
SWA_Stimulus2_Submission,1148.30769230769,90.7692307692308,1326.76923076923,215.076923076923,SWA_Stimulus2
SWA_Stimulus2_Question_Editor,499.692307692308,671.692307692308,865.230769230769,1018.76923076923,SWA_Stimulus2
SWA_Stimulus2_Published_Report_1,307.692307692308,776.307692307692,488.615384615385,851.384615384615,SWA_Stimulus2
SWA_Stimulus2_Question_Control,308.923076923077,240.923076923077,492.307692307692,274.153846153846,SWA_Stimulus2
