Respondent,VisitedAOI,Dwell Start,Dwell End,Number of Fixations in Dwell,Number of Saccades in Dwell,Dwell Time
Anonymous 14-11-22 09h35m,SubFigure3,352728.7134,353686.9305,2.0,13.0,958.2171000000089
Anonymous 14-11-22 09h35m,Text_Area,353695.2634,358611.4072,20.0,32.0,4916.14380000002
Anonymous 14-11-22 09h35m,Paragraph6,353836.919,353945.236,0.0,3.0,108.31699999998091
Anonymous 14-11-22 09h35m,Paragraph5,353970.2333,358611.4072,20.0,28.0,4641.173899999994
Anonymous 14-11-22 09h35m,Figure,358611.4072,360052.8936,5.0,11.0,1441.4863999999943
Anonymous 14-11-22 09h35m,SubFigure3,358744.7233,359961.2327,5.0,9.0,1216.5093999999808
Anonymous 14-11-22 09h35m,Paragraph4,360086.2702,360202.8777,0.0,3.0,116.6074999999837
Anonymous 14-11-22 09h35m,Text_Area,360086.2702,360544.5438,1.0,5.0,458.2735999999568
Anonymous 14-11-22 09h35m,Paragraph2,360244.5382,360544.5438,1.0,2.0,300.00559999997495
Anonymous 14-11-22 09h35m,Text_Area,360611.1923,361836.0402,3.0,6.0,1224.8478999999934
Anonymous 14-11-22 09h35m,Paragraph5,360986.122,361177.7997,1.0,1.0,191.6777000000002
Anonymous 14-11-22 09h35m,Paragraph4,361227.8289,361836.0402,1.0,1.0,608.2112999999663
Anonymous 14-11-22 09h35m,SubFigure2,361844.3694,361861.0315,0.0,1.0,16.662099999957718
Anonymous 14-11-22 09h35m,Figure,361844.3694,362394.3246,2.0,4.0,549.9551999999676
Anonymous 14-11-22 09h35m,SubFigure3,361936.0478,362211.0184,1.0,1.0,274.97060000000056
Anonymous 14-11-22 09h35m,SubFigure2,362211.0184,362394.3246,1.0,1.0,183.3061999999918
Anonymous 14-11-22 09h35m,Paragraph2,362469.3155,362627.6051,1.0,1.0,158.28959999996005
Anonymous 14-11-22 09h35m,Text_Area,362469.3155,365015.5971,11.0,16.0,2546.2815999999875
Anonymous 14-11-22 09h35m,Paragraph4,362727.6123,362794.2923,1.0,0.0,66.67999999999302
Anonymous 14-11-22 09h35m,Paragraph2,362794.2923,363052.5779,1.0,1.0,258.2856000000029
Anonymous 14-11-22 09h35m,Paragraph1,363102.5548,363294.2493,1.0,1.0,191.69450000004144
Anonymous 14-11-22 09h35m,Paragraph3,363294.2493,363635.8543,1.0,1.0,341.6049999999814
Anonymous 14-11-22 09h35m,Paragraph5,363677.5254,363819.1586,1.0,0.0,141.63320000004023
Anonymous 14-11-22 09h35m,Paragraph3,363819.1586,364235.8048,1.0,1.0,416.6461999999592
Anonymous 14-11-22 09h35m,Paragraph4,364277.4298,364632.3625,1.0,2.0,354.93270000000484
Anonymous 14-11-22 09h35m,Paragraph3,364657.3625,364874.0002,1.0,2.0,216.63770000002114
Anonymous 14-11-22 09h35m,Paragraph5,364923.9946,365007.2658,1.0,0.0,83.27120000001742
Anonymous 14-11-22 09h35m,Figure,365057.2708,368540.2423,11.0,14.0,3482.971499999985
Anonymous 14-11-22 09h35m,SubFigure2,365215.5764,365398.8927,1.0,1.0,183.31630000000587
Anonymous 14-11-22 09h35m,SubFigure3,365423.8889,368415.2791,10.0,10.0,2991.3901999999653
Anonymous 14-11-22 09h35m,Paragraph6,368556.9034,368673.5261,1.0,2.0,116.62270000000717
Anonymous 14-11-22 09h35m,Text_Area,368556.9034,369356.8348,4.0,7.0,799.9314000000013
Anonymous 14-11-22 09h35m,Paragraph5,368673.5261,369356.8348,3.0,5.0,683.3086999999941
Anonymous 14-11-22 09h35m,Figure,369415.1535,381476.8307,37.0,64.0,12061.677199999976
Anonymous 14-11-22 09h35m,SubFigure3,369531.797,379652.0317,30.0,52.0,10120.234699999972
Anonymous 14-11-22 09h35m,SubFigure2,379652.0317,379960.344,1.0,3.0,308.3122999999905
Anonymous 14-11-22 09h35m,SubFigure3,379985.3248,381476.8307,6.0,8.0,1491.5058999999892
Anonymous 14-11-22 09h35m,SubFigure3,381632.8618,382690.317,6.0,8.0,1057.4551999999676
Anonymous 14-11-22 09h35m,Figure,381632.8618,393666.3012,38.0,66.0,12033.439399999974
Anonymous 14-11-22 09h35m,SubFigure2,382723.6423,382973.5832,1.0,0.0,249.94089999998687
Anonymous 14-11-22 09h35m,SubFigure3,383131.8947,384153.9086,3.0,1.0,1022.0139000000199
Anonymous 14-11-22 09h35m,SubFigure2,384153.9086,384345.5644,1.0,2.0,191.65579999994952
Anonymous 14-11-22 09h35m,SubFigure3,384345.5644,385295.4932,4.0,6.0,949.9288000000524
Anonymous 14-11-22 09h35m,SubFigure2,385320.4422,385803.751,2.0,2.0,483.3087999999989
Anonymous 14-11-22 09h35m,SubFigure3,385803.751,388803.4296,8.0,20.0,2999.6785999999847
Anonymous 14-11-22 09h35m,SubFigure2,388803.4296,389903.2854,3.0,5.0,1099.8558000000194
Anonymous 14-11-22 09h35m,SubFigure1,389936.5948,390203.2334,1.0,2.0,266.6386000000057
Anonymous 14-11-22 09h35m,SubFigure3,390294.8901,390919.8269,2.0,3.0,624.9367999999668
Anonymous 14-11-22 09h35m,SubFigure2,390919.8269,391111.47,1.0,2.0,191.6430999999866
Anonymous 14-11-22 09h35m,SubFigure3,391774.8379,393457.9772,5.0,11.0,1683.139300000039
Anonymous 14-11-22 09h35m,SubFigure3,393682.9601,393824.5922,1.0,0.0,141.632099999988
Anonymous 14-11-22 09h35m,Figure,393682.9601,393824.5922,1.0,0.0,141.632099999988
Anonymous 14-11-22 09h35m,Paragraph6,393824.5922,394832.8396,4.0,8.0,1008.2473999999929
Anonymous 14-11-22 09h35m,Text_Area,393824.5922,399287.5764,17.0,40.0,5462.984200000006
Anonymous 14-11-22 09h35m,Paragraph6,395204.6548,395304.6653,0.0,2.0,100.01049999997485
Anonymous 14-11-22 09h35m,Paragraph6,395354.673,395504.6842,1.0,2.0,150.0112000000081
Anonymous 14-11-22 09h35m,Paragraph5,395546.2956,395612.9463,0.0,1.0,66.65069999999832
Anonymous 14-11-22 09h35m,Paragraph6,395612.9463,396096.222,2.0,1.0,483.2756999999983
Anonymous 14-11-22 09h35m,Paragraph6,396129.5527,396312.9046,1.0,2.0,183.35190000000875
Anonymous 14-11-22 09h35m,Paragraph6,396387.8557,398096.0175,4.0,10.0,1708.1618000000017
Anonymous 14-11-22 09h35m,Paragraph6,398312.6456,399195.8822,4.0,5.0,883.2366000000038
Anonymous 14-11-22 09h35m,SubFigure2,399304.2016,399362.5323,0.0,1.0,58.330700000049546
Anonymous 14-11-22 09h35m,Figure,399304.2016,399520.8821,1.0,1.0,216.68050000001676
Anonymous 14-11-22 09h35m,SubFigure3,399362.5323,399520.8821,1.0,0.0,158.34979999996722
Anonymous 14-11-22 09h35m,Text_Area,399520.8821,400479.0812,3.0,5.0,958.1991000000271
Anonymous 14-11-22 09h35m,Paragraph6,399629.1819,399787.4979,1.0,2.0,158.31599999999162
Anonymous 14-11-22 09h35m,Paragraph6,400012.4822,400370.7564,1.0,1.0,358.2741999999853
Anonymous 14-11-22 09h35m,SubFigure3,400487.4161,401079.0241,3.0,9.0,591.6080000000075
Anonymous 14-11-22 09h35m,Figure,400487.4161,401079.0241,3.0,9.0,591.6080000000075
Anonymous 14-11-22 09h35m,Text_Area,401245.66,429100.9114,94.0,132.0,27855.25140000001
Anonymous 14-11-22 09h35m,Paragraph6,401370.6412,402412.2027,5.0,7.0,1041.5615000000107
Anonymous 14-11-22 09h35m,Paragraph6,402445.5249,407011.7059,13.0,19.0,4566.180999999982
Anonymous 14-11-22 09h35m,Paragraph5,407120.028,407178.3409,0.0,1.0,58.312900000019
Anonymous 14-11-22 09h35m,Paragraph6,407211.6613,407728.3482,2.0,1.0,516.6869000000297
Anonymous 14-11-22 09h35m,Paragraph6,407761.6109,408186.5532,1.0,2.0,424.94229999999516
Anonymous 14-11-22 09h35m,Paragraph6,408261.5465,408344.9065,0.0,2.0,83.35999999998603
Anonymous 14-11-22 09h35m,Paragraph6,408369.8736,408544.8628,0.0,3.0,174.9892000000109
Anonymous 14-11-22 09h35m,Paragraph6,408594.9078,409378.0947,2.0,4.0,783.1869000000297
Anonymous 14-11-22 09h35m,Paragraph6,409511.4078,409603.0694,1.0,0.0,91.66159999999218
Anonymous 14-11-22 09h35m,Paragraph6,409661.4431,409753.0829,1.0,0.0,91.63980000000447
Anonymous 14-11-22 09h35m,Paragraph5,409919.7425,409944.6928,0.0,1.0,24.95030000002589
Anonymous 14-11-22 09h35m,Paragraph6,410044.6826,411286.2124,5.0,9.0,1241.5298000000184
Anonymous 14-11-22 09h35m,Paragraph1,411477.8582,412269.4587,2.0,1.0,791.6005000000005
Anonymous 14-11-22 09h35m,Paragraph3,412269.4587,415677.4298,10.0,7.0,3407.971099999966
Anonymous 14-11-22 09h35m,Paragraph6,415827.4,416827.2899,5.0,4.0,999.889899999951
Anonymous 14-11-22 09h35m,Paragraph6,416885.6415,420051.9432,13.0,15.0,3166.3016999999527
Anonymous 14-11-22 09h35m,Paragraph6,420310.2523,429100.9114,32.0,39.0,8790.65909999999
Anonymous 14-11-22 09h35m,SubFigure1,429175.9212,429492.5406,1.0,1.0,316.61940000002505
Anonymous 14-11-22 09h35m,Figure,429175.9212,429492.5406,1.0,1.0,316.61940000002505
Anonymous 14-11-22 09h35m,Paragraph6,429517.5387,430725.7669,6.0,4.0,1208.2282000000123
Anonymous 14-11-22 09h35m,Text_Area,429517.5387,430725.7669,6.0,4.0,1208.2282000000123
Anonymous 14-11-22 09h35m,SubFigure1,430725.7669,434092.0528,8.0,10.0,3366.285900000017
Anonymous 14-11-22 09h35m,Figure,430725.7669,434092.0528,8.0,10.0,3366.285900000017
Anonymous 14-11-22 09h35m,Paragraph6,434092.0528,435275.2409,4.0,7.0,1183.1880999999703
Anonymous 14-11-22 09h35m,Text_Area,434092.0528,435275.2409,4.0,7.0,1183.1880999999703
Anonymous 14-11-22 09h35m,SubFigure1,435350.2375,437258.3716,4.0,2.0,1908.1341000000248
Anonymous 14-11-22 09h35m,Figure,435350.2375,437258.3716,4.0,2.0,1908.1341000000248
Anonymous 14-11-22 09h35m,Text_Area,437258.3716,438058.3198,2.0,2.0,799.9481999999844
Anonymous 14-11-22 09h35m,Paragraph6,437383.3641,438058.3198,2.0,1.0,674.9556999999913
Anonymous 14-11-22 09h35m,SubFigure1,438058.3198,438783.1749,3.0,3.0,724.8550999999861
Anonymous 14-11-22 09h35m,Figure,438058.3198,438783.1749,3.0,3.0,724.8550999999861
Anonymous 14-11-22 09h35m,Paragraph6,438783.1749,439041.5184,1.0,1.0,258.34350000001723
Anonymous 14-11-22 09h35m,Text_Area,438783.1749,439041.5184,1.0,1.0,258.34350000001723
Anonymous 14-11-22 09h35m,SubFigure1,439091.4982,440141.3636,2.0,3.0,1049.8654000000097
Anonymous 14-11-22 09h35m,Figure,439091.4982,440141.3636,2.0,3.0,1049.8654000000097
Anonymous 14-11-22 09h35m,Text_Area,440166.3952,440707.9642,2.0,3.0,541.5689999999595
Anonymous 14-11-22 09h35m,Paragraph6,440316.3416,440707.9642,2.0,2.0,391.6226000000024
Anonymous 14-11-22 09h35m,SubFigure1,440707.9642,442116.1904,4.0,3.0,1408.2262000000337
Anonymous 14-11-22 09h35m,Figure,440707.9642,442116.1904,4.0,3.0,1408.2262000000337
Anonymous 14-11-22 09h35m,Paragraph6,442182.814,442891.0938,4.0,3.0,708.2797999999602
Anonymous 14-11-22 09h35m,Text_Area,442182.814,442891.0938,4.0,3.0,708.2797999999602
Anonymous 14-11-22 09h35m,SubFigure1,442932.7259,443282.6779,2.0,1.0,349.9519999999902
Anonymous 14-11-22 09h35m,Figure,442932.7259,443282.6779,2.0,1.0,349.9519999999902
Anonymous 14-11-22 09h35m,Paragraph6,443341.0384,445790.7568,9.0,10.0,2449.7183999999543
Anonymous 14-11-22 09h35m,Text_Area,443341.0384,446774.0053,12.0,19.0,3432.9668999999994
Anonymous 14-11-22 09h35m,Paragraph6,445865.7469,446774.0053,3.0,8.0,908.2583999999915
Anonymous 14-11-22 09h35m,Figure,446774.0053,448407.1484,4.0,8.0,1633.1430999999866
Anonymous 14-11-22 09h35m,SubFigure2,446882.3104,448348.8177,4.0,6.0,1466.5072999999975
Anonymous 14-11-22 09h35m,Paragraph6,448407.1484,449057.0569,3.0,3.0,649.9085000000196
Anonymous 14-11-22 09h35m,Text_Area,448407.1484,449057.0569,3.0,3.0,649.9085000000196
Anonymous 14-11-22 09h35m,Figure,449073.7192,450186.7783,3.0,6.0,1113.0591000000131
Anonymous 14-11-22 09h35m,SubFigure2,449132.0489,450061.7684,3.0,4.0,929.7195000000065
Anonymous 14-11-22 09h35m,SubFigure2,450278.4085,452903.0851,7.0,11.0,2624.676600000006
Anonymous 14-11-22 09h35m,Figure,450278.4085,453503.0027,9.0,15.0,3224.5941999999923
Anonymous 14-11-22 09h35m,SubFigure3,452961.4174,453186.3876,1.0,1.0,224.97020000003977
Anonymous 14-11-22 09h35m,SubFigure2,453236.4246,453419.6804,1.0,1.0,183.25579999998445
Anonymous 14-11-22 09h35m,Paragraph6,453503.0027,453702.9873,1.0,0.0,199.98459999996703
Anonymous 14-11-22 09h35m,Text_Area,453503.0027,454694.5578,3.0,7.0,1191.5550999999978
Anonymous 14-11-22 09h35m,Paragraph5,453702.9873,454519.5613,2.0,4.0,816.5740000000224
Anonymous 14-11-22 09h35m,Paragraph4,454611.2764,454694.5578,0.0,2.0,83.28140000003623
Anonymous 14-11-22 09h35m,SubFigure1,454736.2295,454944.535,1.0,2.0,208.30549999995856
Anonymous 14-11-22 09h35m,Figure,454736.2295,457524.3359,7.0,14.0,2788.1063999999897
Anonymous 14-11-22 09h35m,SubFigure2,455044.5239,456769.4165,4.0,6.0,1724.892600000021
Anonymous 14-11-22 09h35m,SubFigure3,456819.3472,457332.7178,2.0,3.0,513.3705999999656
Anonymous 14-11-22 09h35m,Paragraph6,457549.3197,458299.2194,3.0,6.0,749.899700000009
Anonymous 14-11-22 09h35m,Text_Area,457549.3197,461445.0696,11.0,21.0,3895.7498999999953
Anonymous 14-11-22 09h35m,Paragraph5,458374.2297,458649.2075,2.0,2.0,274.9777999999933
Anonymous 14-11-22 09h35m,Paragraph1,458690.8648,458974.1539,1.0,2.0,283.2890999999945
Anonymous 14-11-22 09h35m,Paragraph2,459540.7479,460128.5416,1.0,2.0,587.7936999999802
Anonymous 14-11-22 09h35m,Paragraph2,460278.5256,460486.8645,1.0,1.0,208.33890000003157
Anonymous 14-11-22 09h35m,Paragraph3,460553.5053,461270.067,2.0,2.0,716.561699999962
Anonymous 14-11-22 09h35m,Paragraph5,461286.7453,461303.4084,0.0,1.0,16.663100000005215
Anonymous 14-11-22 09h35m,Formula,461445.0696,468494.3067,29.0,39.0,7049.237100000028
Anonymous 14-11-22 09h35m,SubFigure2,468544.311,468552.6375,0.0,1.0,8.32650000002468
Anonymous 14-11-22 09h35m,Figure,468544.311,469402.4991,3.0,5.0,858.1881000000285
Anonymous 14-11-22 09h35m,SubFigure1,468594.3418,469402.4991,3.0,4.0,808.1573000000208
Anonymous 14-11-22 09h35m,Formula,469402.4991,469985.7812,2.0,3.0,583.2821000000113
Anonymous 14-11-22 09h35m,Figure,470010.7715,470835.6952,3.0,4.0,824.923700000043
Anonymous 14-11-22 09h35m,SubFigure1,470085.7954,470777.377,3.0,2.0,691.5815999999759
Anonymous 14-11-22 09h35m,Formula,470835.6952,471985.5861,6.0,9.0,1149.8908999999985
Anonymous 14-11-22 09h35m,SubFigure1,471993.8982,475285.1954,9.0,19.0,3291.29720000003
Anonymous 14-11-22 09h35m,Figure,471993.8982,478451.5167,20.0,36.0,6457.618499999982
Anonymous 14-11-22 09h35m,SubFigure2,475318.5299,476635.0353,4.0,3.0,1316.5053999999654
Anonymous 14-11-22 09h35m,SubFigure1,476743.3884,477051.6911,1.0,1.0,308.3027000000002
Anonymous 14-11-22 09h35m,SubFigure2,477101.6608,477126.6568,0.0,1.0,24.995999999984633
Anonymous 14-11-22 09h35m,SubFigure3,477126.6568,477551.6037,3.0,4.0,424.9468999999808
Anonymous 14-11-22 09h35m,SubFigure2,477601.6032,477859.9209,1.0,0.0,258.31770000001416
Anonymous 14-11-22 09h35m,SubFigure1,477909.9102,478176.5421,1.0,0.0,266.6319000000367
Anonymous 14-11-22 09h35m,SubFigure2,478176.5421,478368.2026,1.0,2.0,191.66049999999814
Anonymous 14-11-22 09h35m,Text_Area,478451.5167,479001.4607,3.0,5.0,549.9440000000177
Anonymous 14-11-22 09h35m,SubFigure1,479051.451,480026.3293,3.0,4.0,974.8782999999821
Anonymous 14-11-22 09h35m,Figure,479051.451,494008.136,43.0,57.0,14956.684999999998
Anonymous 14-11-22 09h35m,SubFigure2,480026.3293,480701.3261,2.0,3.0,674.9968000000226
Anonymous 14-11-22 09h35m,SubFigure1,480701.3261,480909.5776,1.0,2.0,208.25150000001304
Anonymous 14-11-22 09h35m,SubFigure2,480967.8908,481201.2165,1.0,1.0,233.32569999998668
Anonymous 14-11-22 09h35m,SubFigure3,481201.2165,481926.1468,3.0,6.0,724.9303000000073
Anonymous 14-11-22 09h35m,SubFigure2,481934.49,482534.407,3.0,4.0,599.9170000000158
Anonymous 14-11-22 09h35m,SubFigure1,482534.407,482851.044,1.0,1.0,316.6369999999879
Anonymous 14-11-22 09h35m,SubFigure1,482901.0425,483284.3178,1.0,0.0,383.27530000003753
Anonymous 14-11-22 09h35m,SubFigure1,483300.9697,483600.9537,1.0,0.0,299.98399999999674
Anonymous 14-11-22 09h35m,SubFigure1,483625.9407,484217.5469,2.0,1.0,591.6062000000384
Anonymous 14-11-22 09h35m,SubFigure1,484234.2059,484625.8296,1.0,0.0,391.62369999999646
Anonymous 14-11-22 09h35m,SubFigure2,484642.4878,486433.9722,6.0,6.0,1791.4844000000157
Anonymous 14-11-22 09h35m,SubFigure3,486483.959,487783.809,4.0,2.0,1299.850000000035
Anonymous 14-11-22 09h35m,SubFigure2,487783.809,488017.1146,0.0,4.0,233.3055999999633
Anonymous 14-11-22 09h35m,SubFigure1,488667.065,488725.3985,0.0,2.0,58.333500000007916
Anonymous 14-11-22 09h35m,SubFigure2,488725.3985,489283.6746,2.0,1.0,558.2761000000173
Anonymous 14-11-22 09h35m,SubFigure3,489283.6746,492141.6714,5.0,6.0,2857.9967999999644
Anonymous 14-11-22 09h35m,SubFigure2,492141.6714,492358.3285,1.0,1.0,216.65710000001127
Anonymous 14-11-22 09h35m,SubFigure3,492374.984,494008.136,5.0,5.0,1633.1520000000019
Anonymous 14-11-22 09h35m,Formula,494091.4594,494766.3754,3.0,2.0,674.9160000000265
Anonymous 14-11-22 09h35m,SubFigure3,494766.3754,495457.9811,2.0,2.0,691.6056999999564
Anonymous 14-11-22 09h35m,Figure,494766.3754,495457.9811,2.0,2.0,691.6056999999564
Anonymous 14-11-22 09h35m,Formula,495557.9643,496066.2431,1.0,0.0,508.27880000002915
Anonymous 14-11-22 09h35m,SubFigure3,496066.2431,496732.852,3.0,4.0,666.608899999992
Anonymous 14-11-22 09h35m,Figure,496066.2431,503673.7578,24.0,53.0,7607.5147
Anonymous 14-11-22 09h35m,SubFigure1,496741.1711,497682.7188,3.0,8.0,941.5476999999955
Anonymous 14-11-22 09h35m,SubFigure3,497691.0454,498499.3061,2.0,9.0,808.2606999999844
Anonymous 14-11-22 09h35m,SubFigure2,498549.2951,499382.5452,2.0,2.0,833.2501000000047
Anonymous 14-11-22 09h35m,SubFigure2,499432.5416,499799.165,1.0,5.0,366.6233999999822
Anonymous 14-11-22 09h35m,SubFigure1,499882.4726,500382.4219,2.0,1.0,499.9493000000366
Anonymous 14-11-22 09h35m,SubFigure1,500407.4542,501132.3531,2.0,2.0,724.8989000000292
Anonymous 14-11-22 09h35m,SubFigure3,501140.6747,501715.6143,2.0,7.0,574.9396000000415
Anonymous 14-11-22 09h35m,SubFigure2,501807.2606,501915.6352,1.0,1.0,108.37460000003921
Anonymous 14-11-22 09h35m,SubFigure1,501965.6271,502640.5418,2.0,4.0,674.914700000023
Anonymous 14-11-22 09h35m,SubFigure1,502690.5526,503115.4568,2.0,1.0,424.90419999998994
Anonymous 14-11-22 09h35m,SubFigure2,503115.4568,503657.0921,2.0,2.0,541.6353000000236
Anonymous 14-11-22 09h35m,SubFigure1,503715.3829,503873.7615,1.0,0.0,158.37859999999637
Anonymous 14-11-22 09h35m,Figure,503715.3829,505006.9282,5.0,6.0,1291.545299999998
Anonymous 14-11-22 09h35m,SubFigure1,503898.7484,504132.0048,1.0,0.0,233.25640000001295
Anonymous 14-11-22 09h35m,SubFigure2,504165.345,505006.9282,3.0,4.0,841.5832000000519
Anonymous 14-11-22 09h35m,SubFigure3,505256.8794,506115.1366,3.0,4.0,858.257200000051
Anonymous 14-11-22 09h35m,Figure,505256.8794,506115.1366,3.0,4.0,858.257200000051
Anonymous 14-11-22 09h35m,Formula,506148.4894,506298.4326,1.0,0.0,149.9431999999797
Anonymous 14-11-22 09h35m,Paragraph2,506415.0894,506706.7797,2.0,2.0,291.6903000000166
Anonymous 14-11-22 09h35m,Text_Area,506415.0894,508386.9241,9.0,19.0,1971.8347000000067
Anonymous 14-11-22 09h35m,Paragraph1,506706.7797,507015.0191,1.0,3.0,308.2393999999622
Anonymous 14-11-22 09h35m,Paragraph5,507031.6819,507398.3124,2.0,2.0,366.6304999999702
Anonymous 14-11-22 09h35m,Paragraph5,507440.0088,507856.6005,3.0,3.0,416.59169999998994
Anonymous 14-11-22 09h35m,Paragraph4,508078.6711,508286.9881,0.0,5.0,208.31700000003912
Anonymous 14-11-22 09h35m,Paragraph2,508403.6148,508545.2671,1.0,0.0,141.6523000000161
Anonymous 14-11-22 09h35m,Text_Area,508403.6148,512019.8599,14.0,25.0,3616.2451
Anonymous 14-11-22 09h35m,Paragraph1,508545.2671,509036.8944,2.0,3.0,491.62729999999283
Anonymous 14-11-22 09h35m,Paragraph5,509111.8549,509286.8469,1.0,1.0,174.99200000002747
Anonymous 14-11-22 09h35m,Paragraph6,509295.181,511128.3031,6.0,15.0,1833.1221000000369
Anonymous 14-11-22 09h35m,Paragraph5,511136.6391,511344.9342,1.0,2.0,208.29510000004666
Anonymous 14-11-22 09h35m,Paragraph4,511436.5915,512019.8599,3.0,2.0,583.2684000000008
Anonymous 14-11-22 09h35m,SubFigure1,512019.8599,512311.4909,1.0,1.0,291.63099999999395
Anonymous 14-11-22 09h35m,Figure,512019.8599,513211.3987,4.0,4.0,1191.5388000000385
Anonymous 14-11-22 09h35m,SubFigure2,512344.8194,512869.79,2.0,1.0,524.9706000000006
Anonymous 14-11-22 09h35m,SubFigure3,512903.1218,513211.3987,1.0,0.0,308.2768999999971
Anonymous 14-11-22 09h35m,Formula,513261.4361,513594.7406,2.0,1.0,333.3045000000275
Anonymous 14-11-22 09h35m,Figure,513594.7406,513694.7272,0.0,1.0,99.98660000000382
Anonymous 14-11-22 09h35m,SubFigure1,516794.3293,517802.6061,1.0,4.0,1008.2767999999924
Anonymous 14-11-22 09h35m,Figure,516794.3293,517802.6061,1.0,4.0,1008.2767999999924
Anonymous 14-11-22 09h35m,Paragraph6,518152.5132,518260.8337,0.0,3.0,108.32050000003073
Anonymous 14-11-22 09h35m,Text_Area,518152.5132,518260.8337,0.0,3.0,108.32050000003073
Anonymous 17-11-22 21h53m,Paragraph4,181.3684,214.7255,0.0,1.0,33.3571
Anonymous 17-11-22 21h53m,Text_Area,181.3684,214.7255,0.0,1.0,33.3571
Anonymous 17-11-22 21h53m,Figure,214.7255,439.6879,1.0,0.0,224.9624
Anonymous 17-11-22 21h53m,Text_Area,439.6879,6055.7259,13.0,13.0,5616.0380000000005
Anonymous 17-11-22 21h53m,Paragraph2,498.0258,622.9974,1.0,0.0,124.97159999999997
Anonymous 17-11-22 21h53m,Paragraph1,622.9974,5847.4176,11.0,11.0,5224.4202
Anonymous 17-11-22 21h53m,Paragraph1,5864.1035,6055.7259,1.0,0.0,191.6224000000002
Anonymous 17-11-22 21h53m,Paragraph1,6072.3775,6847.3241,1.0,1.0,774.9466000000002
Anonymous 17-11-22 21h53m,Text_Area,6072.3775,6847.3241,1.0,1.0,774.9466000000002
Anonymous 17-11-22 21h53m,Text_Area,6938.9672,11971.7214,10.0,9.0,5032.7542
Anonymous 17-11-22 21h53m,Paragraph1,7930.5332,11971.7214,9.0,9.0,4041.1882000000005
Anonymous 17-11-22 21h53m,Paragraph1,11988.3851,21487.3542,20.0,21.0,9498.969100000002
Anonymous 17-11-22 21h53m,Text_Area,11988.3851,29386.4553,36.0,39.0,17398.070200000002
Anonymous 17-11-22 21h53m,Paragraph1,21662.3236,28236.641,13.0,13.0,6574.3174
Anonymous 17-11-22 21h53m,Paragraph1,28686.5499,29311.4567,2.0,2.0,624.906799999997
Anonymous 17-11-22 21h53m,Figure,29386.4553,56733.4251,50.0,66.0,27346.9698
Anonymous 17-11-22 21h53m,SubFigure1,29686.4284,33444.3409,11.0,16.0,3757.912500000002
Anonymous 17-11-22 21h53m,SubFigure1,33919.3216,39027.0546,13.0,17.0,5107.733
Anonymous 17-11-22 21h53m,SubFigure1,39235.3717,56733.4251,24.0,32.0,17498.053399999997
Anonymous 17-11-22 21h53m,Text_Area,56733.4251,57233.4064,0.0,2.0,499.98129999999946
Anonymous 17-11-22 21h53m,SubFigure1,57233.4064,58166.6262,4.0,2.0,933.2197999999989
Anonymous 17-11-22 21h53m,Figure,57233.4064,58166.6262,4.0,2.0,933.2197999999989
Anonymous 17-11-22 21h53m,Text_Area,58166.6262,58241.5859,0.0,1.0,74.95969999999943
Anonymous 17-11-22 21h53m,SubFigure1,58766.5586,59108.1353,1.0,2.0,341.5767000000051
Anonymous 17-11-22 21h53m,Figure,58766.5586,60074.7112,5.0,5.0,1308.1526000000013
Anonymous 17-11-22 21h53m,SubFigure2,59108.1353,59499.7583,2.0,1.0,391.6229999999996
Anonymous 17-11-22 21h53m,SubFigure1,59499.7583,60074.7112,2.0,2.0,574.9528999999966
Anonymous 17-11-22 21h53m,Text_Area,60074.7112,70398.5443,34.0,38.0,10323.833099999996
Anonymous 17-11-22 21h53m,Paragraph3,60141.3687,64074.302,13.0,15.0,3932.9333000000042
Anonymous 17-11-22 21h53m,Paragraph3,64182.5977,67882.1854,11.0,11.0,3699.5877000000037
Anonymous 17-11-22 21h53m,Paragraph3,67907.1963,70273.5604,9.0,9.0,2366.364100000006
Anonymous 17-11-22 21h53m,SubFigure1,70406.9208,70890.2066,2.0,2.0,483.28579999999783
Anonymous 17-11-22 21h53m,Figure,70406.9208,72581.6486,6.0,8.0,2174.7277999999933
Anonymous 17-11-22 21h53m,SubFigure2,70890.2066,72223.3894,3.0,5.0,1333.182799999995
Anonymous 17-11-22 21h53m,SubFigure1,72256.6706,72581.6486,1.0,0.0,324.9780000000028
Anonymous 17-11-22 21h53m,Text_Area,72581.6486,73139.9198,2.0,3.0,558.2712000000029
Anonymous 17-11-22 21h53m,Paragraph3,72656.6259,73056.6098,2.0,1.0,399.98390000000654
Anonymous 17-11-22 21h53m,SubFigure1,73139.9198,73289.9057,1.0,0.0,149.98589999999967
Anonymous 17-11-22 21h53m,Figure,73139.9198,76272.9019,8.0,10.0,3132.982099999994
Anonymous 17-11-22 21h53m,SubFigure2,73306.569,75306.3394,3.0,2.0,1999.770399999994
Anonymous 17-11-22 21h53m,SubFigure1,75389.6798,76272.9019,4.0,6.0,883.222099999999
Anonymous 17-11-22 21h53m,Text_Area,76272.9019,86021.8736,30.0,34.0,9748.97170000001
Anonymous 17-11-22 21h53m,Paragraph3,76356.251,85938.5088,30.0,32.0,9582.257799999992
Anonymous 17-11-22 21h53m,SubFigure1,86021.8736,86446.7599,2.0,1.0,424.8862999999983
Anonymous 17-11-22 21h53m,Figure,86021.8736,133116.5984,99.0,122.0,47094.72479999998
