Respondent,VisitedAOI,Dwell Start,Dwell End,Number of Fixations in Dwell,Number of Saccades in Dwell,Dwell Time
Anonymous 14-11-22 09h35m,SubFigure2,106271.338,107021.2906,2.0,1.0,749.9525999999896
Anonymous 14-11-22 09h35m,Paragraph1,107129.5754,107171.2421,0.0,1.0,41.66670000000158
Anonymous 14-11-22 09h35m,Text_Area,107129.5754,107304.5608,1.0,1.0,174.98540000000503
Anonymous 14-11-22 09h35m,Paragraph2,107329.5629,107437.8914,1.0,0.0,108.32849999998871
Anonymous 14-11-22 09h35m,Text_Area,107329.5629,107437.8914,1.0,0.0,108.32849999998871
Anonymous 14-11-22 09h35m,Text_Area,107754.5085,108879.4275,2.0,3.0,1124.919000000009
Anonymous 14-11-22 09h35m,Paragraph3,107787.8549,108721.0773,2.0,1.0,933.2223999999987
Anonymous 14-11-22 09h35m,SubFigure2,108946.0376,110054.2526,3.0,9.0,1108.215000000011
Anonymous 14-11-22 09h35m,Figure,108946.0376,113903.8528,13.0,18.0,4957.815199999997
Anonymous 14-11-22 09h35m,SubFigure3,110054.2526,111529.1115,4.0,4.0,1474.858899999992
Anonymous 14-11-22 09h35m,SubFigure1,111604.1099,112387.3472,3.0,1.0,783.237300000008
Anonymous 14-11-22 09h35m,SubFigure1,112853.9767,113903.8528,2.0,1.0,1049.876099999994
Anonymous 14-11-22 09h35m,Text_Area,113903.8528,148641.6666,102.0,159.0,34737.8138
Anonymous 14-11-22 09h35m,Paragraph3,113978.8316,115220.3679,4.0,4.0,1241.5362999999925
Anonymous 14-11-22 09h35m,Paragraph3,115470.3181,122344.5925,18.0,20.0,6874.274399999995
Anonymous 14-11-22 09h35m,Paragraph3,122544.5934,123461.1351,2.0,3.0,916.5417000000016
Anonymous 14-11-22 09h35m,Paragraph3,123644.4152,130401.9947,16.0,18.0,6757.579499999993
Anonymous 14-11-22 09h35m,Paragraph3,130477.0223,131026.9571,3.0,3.0,549.9348000000027
Anonymous 14-11-22 09h35m,Paragraph3,131076.979,136176.3544,15.0,11.0,5099.375400000019
Anonymous 14-11-22 09h35m,Paragraph5,136226.3657,136434.6725,1.0,0.0,208.3067999999912
Anonymous 14-11-22 09h35m,Paragraph3,136493.0467,136701.3281,1.0,1.0,208.28140000000712
Anonymous 14-11-22 09h35m,Paragraph4,136701.3281,137642.8803,3.0,3.0,941.5521999999764
