AOI,p1x,p1y,p2x,p2y
Chat,1548.984881,676.4578834,1683.110151,737.1058315
CTA_1,287.0410367,443.1965443,506.3066955,508.5097192
Date_Place_1,192.5701944,846.7386609,488.812095,957.537797
Date_Place_2,757.062635,87.47300216,1045.140389,169.1144708
Description_1,191.4038877,968.0345572,584.4492441,1042.678186
Description_2,757.062635,177.2786177,1167.602592,319.5680346
Fav,1365.87473,675.2915767,1524.492441,733.6069114
Food,155.2483801,88.63930886,636.9330454,435.0323974
Gen_Info,193.7365011,523.6717063,495.8099352,600.6479482
Ingredients,757.062635,337.062635,989.1576674,669.4600432
Instructions,755.8963283,681.1231102,1162.937365,1036.846652
Online,1418.358531,895.7235421,1641.12311,941.2095032
Participants_Overview,191.4038877,618.1425486,598.4449244,828.0777538
Participant_Bio,1321.555076,751.1015119,1541.987041,865.399568
Participant_Profile_Picture,1292.397408,100.3023758,1758.920086,662.462203
Place,1482.5054,954.0388769,1575.809935,1029.848812
Responsabilities,1018.315335,338.2289417,1166.436285,670.6263499
Status,1606.133909,954.0388769,1691.274298,1031.015119
Verified,1357.710583,952.8725702,1453.347732,1029.848812
